,Year,Physics,Chemistry,Physiology/Medicine,Literature,Peace,Economic Sciences
59,1965,Shin'ichirō Tomonaga;Julian Schwinger;Richard Feynman,Robert Burns Woodward,François Jacob;André Michel Lwoff;Jacques Monod,Mikhail Sholokhov,United Nations International Children's Emergency Fund,-
60,1964,Charles H. Townes;Nikolay Basov;Alexander Prokhorov,Dorothy Hodgkin,Konrad Emil Bloch;Feodor Lynen,Jean-Paul Sartre[e],Martin Luther King Jr.,-
61,1963,Eugene Wigner;Maria Goeppert Mayer;J. Hans D. Jensen,Karl Ziegler;Giulio Natta,John Eccles;Alan Hodgkin;Andrew Huxley,Giorgos Seferis,International Committee of the Red Cross;League of Red Cross societies,-
62,1962,Lev Landau,Max Perutz;John Kendrew,Francis Crick;James Watson;Maurice Wilkins,John Steinbeck,Linus Pauling,-
63,1961,Robert Hofstadter;Rudolf Mössbauer,Melvin Calvin,Georg von Békésy,Ivo Andrić,Dag Hammarskjöld,-
64,1960,Donald A. Glaser,Willard Libby,Macfarlane Burnet;Peter Medawar,Saint-John Perse,Albert Lutuli,-
65,1959,Emilio Segrè;Owen Chamberlain,Jaroslav Heyrovský,Arthur Kornberg;Severo Ochoa,Salvatore Quasimodo,Philip Noel-Baker,-
66,1958,Pavel Cherenkov;Ilya Frank;Igor Tamm,Frederick Sanger,George Beadle;Edward Tatum;Joshua Lederberg,Boris Pasternak[d],Dominique Pire,-
67,1957,Yang Chen-Ning;Tsung-Dao Lee,The Lord Todd,Daniel Bovet,Albert Camus,Lester B. Pearson,-
68,1956,John Bardeen;Walter Houser Brattain;William Shockley,Cyril Norman Hinshelwood;Nikolay Semyonov,André Frédéric Cournand;Werner Forssmann;Dickinson W. Richards,Juan Ramón Jiménez,None,-
69,1955,Willis Lamb;Polykarp Kusch,Vincent du Vigneaud,Hugo Theorell,Halldór Laxness,None,-
70,1954,Max Born;Walther Bothe,Linus Pauling,John Franklin Enders;Frederick Chapman Robbins;Thomas Huckle Weller,Ernest Hemingway,United Nations High Commissioner for Refugees,-
71,1953,Frits Zernike,Hermann Staudinger,Hans Adolf Krebs;Fritz Albert Lipmann,Winston Churchill,George Marshall,-
72,1952,Felix Bloch;Edward Mills Purcell,Archer Martin;Richard Laurence Millington Synge,Selman Waksman,François Mauriac,Albert Schweitzer,-
73,1951,John Cockcroft;Ernest Walton,Edwin McMillan;Glenn T. Seaborg,Max Theiler,Pär Lagerkvist,Léon Jouhaux,-
74,1950,C. F. Powell,Otto Diels;Kurt Alder,Philip Showalter Hench;Edward Calvin Kendall;Tadeus Reichstein,Bertrand Russell,Ralph Bunche,-
75,1949,Hideki Yukawa,William Giauque,Walter Rudolf Hess;António Egas Moniz,William Faulkner,John Boyd Orr,-
76,1948,Patrick Blackett,Arne Tiselius,Paul Hermann Müller,T. S. Eliot,None[c],-
77,1947,Edward Victor Appleton,Robert Robinson,Carl Ferdinand Cori;Gerty Cori;Bernardo Houssay,André Gide,Friends Service Council;American Friends Service Committee,-
78,1946,Percy Williams Bridgman,James B. Sumner;John Howard Northrop;Wendell Meredith Stanley,Hermann Joseph Muller,Hermann Hesse,Emily Greene Balch;John Mott,-
79,1945,Wolfgang Pauli,Artturi Ilmari Virtanen,Alexander Fleming;Ernst Chain;Howard Florey,Gabriela Mistral,Cordell Hull,-
